,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
35,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-09-08 07:01:50.000000,2023-09-04 18:27:54,1080.0,1454.0,107.0,83.0,7413.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,29,True,30.0,,8.0,754.0,,1888.0,28676.0,3.0,,,1888.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,28676.0,,,,,,,
36,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-09-21 15:13:28.000000,2023-09-21 15:11:58,1973.0,829.0,55.0,1243.0,7038.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",141.0,29,True,249.0,100.0,106.0,912.0,2023-09-21 00:51:51,3.0,2117.0,2.0,1.421.1,,3.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-09-20 21:50:47.950431,74098.0,,,,,9.0,,,,,,,,,,
37,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-09-21 17:28:39.000000,2023-09-20 18:56:21,3377.0,248.0,202.0,3451.0,3689.0,Boundary enables identity-based access management for dynamic infrastructure.,136.0,29,False,161.0,45.0,72.0,232.0,2023-07-18 12:06:27,8.0,213892.0,3.0,0.13.1,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-07-18 12:12:01.655444,9411274.0,,,,,11.0,,,,,,,,,,
38,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-09-08 14:28:23.000000,2023-09-08 08:05:44,1354.0,318.0,49.0,714.0,3069.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",109.0,29,True,34.0,100.0,48.0,275.0,2023-07-18 10:23:06,2.0,1214488.0,3.0,0.40.6,29864.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,87412486.0,,,,,30.0,,,,,,,,,,
39,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-09-21 13:42:52.000000,2023-09-20 02:11:19,4996.0,255.0,38.0,696.0,1144.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,292.0,29,True,138.0,47.0,57.0,231.0,2023-09-20 14:53:26,1299.0,,3.0,6.3.5,,1299.0,,,,,,,,,,,,,,,,,,,
40,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-08-31 22:29:15.000000,2023-04-27 06:45:45,1313.0,8758.0,1092.0,129.0,42585.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,28,True,,2.0,532.0,796.0,2020-04-09 05:48:48,13.0,3833.0,3.0,DF.wf.288res.384.92.72.22,161006.0,13.0,,,,,,,,,,,,,,,,,,,
41,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-09-21 15:50:33.000000,2023-09-21 15:50:31,4761.0,936.0,156.0,4577.0,17407.0,The Single Sign-On Multi-Factor portal for web apps.,131.0,28,True,331.0,100.0,70.0,1065.0,2022-12-21 09:01:04,,595.0,2.0,4.37.5,26181.0,,,,,,,,,,,,,,,,,,,,
42,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3478.0,761.0,73.0,14859.0,Face recognition with deep neural networks.,30.0,28,True,,4.0,9.0,370.0,2016-02-25 17:42:46,67.0,1675.0,3.0,0.2.1,,67.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,160811.0,,,,,70.0,,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-09-21 14:21:16.943122,2023-09-21 14:04:40,4821.0,239.0,34.0,4237.0,6304.0,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",40.0,28,True,473.0,48.0,75.0,220.0,2023-09-21 14:25:57,7.0,745.0,2.0,1.9.1,2471.0,7.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-09-21 14:21:16.943122,16222.0,,,,,1.0,,,,,,,,,,
44,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-09-19 08:04:37.000000,2023-09-19 08:04:37,2366.0,1002.0,107.0,815.0,5189.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,311.0,28,True,5.0,62.0,24.0,827.0,2023-03-29 07:20:04,8129.0,,3.0,5.6.6,,8129.0,,,,,,,,,,,,,,,,,,doorkeeper,
