,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
60,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-12-28 15:12:58.000000,2023-12-13 16:40:51,1826.0,26.0,110.0,23.0,743.0,61.0,353.0,376.0,42.0,543.0,543.0,54.0,,,,1.0,,2023-10-09 11:46:16,5.5.3,,,,,,,,,,,,,,,,
61,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-12-28 16:45:20.000000,2023-12-22 18:31:28,8517.0,392.0,436.0,30.0,1575.0,213.0,900.0,374.0,72.0,,,130.0,,,,1.0,,2023-11-25 05:08:09,0.11.0,,,,,,,,,,,,,,,,
62,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,24,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-12-28 11:52:56.000000,2023-12-20 10:28:40,1684.0,13.0,121.0,21.0,347.0,36.0,76.0,1946.0,32.0,,,46.0,,,4079.0,3.0,permitio/opal-server,2023-09-14 19:06:35,0.7.4,558.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,138118.0,,,,,,,,,,,
63,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],24,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-12-26 17:41:48.000000,2023-12-13 22:53:28,423.0,76.0,90.0,18.0,409.0,55.0,182.0,318.0,27.0,267.0,267.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,2023-12-04 19:16:00,0.2.9,,,,,,,,,,,,,,,,
64,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-12-21 14:30:27.000000,2023-12-04 10:33:08,1420.0,14.0,71.0,24.0,983.0,49.0,215.0,274.0,23.0,108.0,108.0,35.0,,,,2.0,,2023-11-02 09:48:53,1.0.0,,,,,,,,,,,,,,,,
65,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-12-20 11:49:01.000000,2023-12-18 12:41:56,930.0,59.0,399.0,62.0,432.0,103.0,346.0,10921.0,57.0,,,26.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,2023-12-07 05:06:05,7.0.16,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
66,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-12-08 22:18:11.000000,2023-12-08 22:18:11,4035.0,11.0,757.0,254.0,329.0,63.0,209.0,2823.0,4.0,,,56.0,,,906.0,3.0,,2015-09-29 22:50:55,1.1.0,109727.0,,,,,,,,,,,,,,,
67,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-12-26 15:56:17.000000,2023-12-26 14:20:07,2358.0,426.0,92.0,18.0,796.0,26.0,125.0,2119.0,50.0,1.0,1.0,37.0,,,84.0,3.0,ghcr.io/permify/permify,2023-12-26 17:32:43,0.6.6,1352.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
68,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-12-27 10:54:21.251058,2023-12-22 09:34:19,15738.0,54.0,307.0,50.0,7130.0,,,1041.0,,,,219.0,,,40525.0,3.0,freeipa/freeipa-server,,,,https://hub.docker.com/r/freeipa/freeipa-server,2023-12-27 10:54:21.251058,159.0,5633105.0,,,,,,,,,,,
69,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-12-28 06:51:19.000000,2023-12-18 08:18:31,1681.0,36.0,219.0,60.0,282.0,28.0,80.0,501.0,6.0,,,99.0,,,1553.0,2.0,universalresolver/uni-resolver-web,2022-01-07 16:42:38,0.5.0,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-12-18 08:20:13.542082,,118084.0,,,,,,,,,,,
