,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
116,credible,spruceid/credible,spruceid,,decentralized,,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,36.0,A reference credential wallet built on Flutter and DIDKit.,11.0,10,False,,,10.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
117,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,10.0,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,10,False,,1.0,18.0,244.0,2023-01-06 16:00:40,,,3.0,old_talao,,,,,,,,,,,,,,,,,,,,,
118,entra-verifiedid-wallet-library-ios,microsoft/entra-verifiedid-wallet-library-ios,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-07-27 17:55:18.000000,2023-07-18 21:05:09,54.0,2.0,10.0,50.0,13.0,A library to manage your Decentralized Identities and Verified IDs on iOS.,3.0,9,False,9.0,2.0,2.0,1.0,2023-06-19 17:55:50,,,3.0,1.0.0,,,,,,,,,,,,,,,,,,,,,
119,vlei,weboftrust/vlei,,,standards,,https://github.com/WebOfTrust/vLEI,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2023-07-13 14:04:44.000000,2023-05-18 17:06:05,84.0,11.0,8.0,31.0,16.0,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,4.0,8,False,2.0,,20.0,27.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
120,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,8.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,8,False,,1.0,1.0,6.0,2023-02-06 15:38:55,,,3.0,1.2302061536.0,,,,,,,,,,,,,,,,,,,,,
121,connectme,evernym/connectme,evernym-ssi,,decentralized,,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,2.0,4.0,,3.0,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,7,False,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
122,cfssl,cloudfare/cfssl,,,pki,,,{},,,2023-06-28 21:53:17.599756,,,,,,23.0,CloudFlares PKI toolkit.,,2,False,,,,,,,,3.0,,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2023-06-28 21:53:17.599756,3996486.0,,,,,23.0,,,,,,,,,
123,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,,,{},,,2023-06-29 16:56:55.416195,,,,,,,,,1,False,,,,,,,,3.0,,,,-12.0,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-06-29 16:56:55.416195,1908.0,,,,,,,,,,,,,,
124,vc-api,w3c-ccg/vs-api,,,standards,['w3c'],,{},W3C,,,,,,,,,,,1,False,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
125,decentralized-web-node,decentralized-identity/decentralize-web-node,,,standards,"['dif', 'web5']",,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,didcomm-messaging,decentralized-identity/didcomm-messagging,,,standards,['dif'],,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,keripyhyperledger,,,,decentralized,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,selective-disclosure-jwt,oauth-selective-disclosure-jwt,,,decentralized,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
