,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
100,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-06-28 15:42:47.000000,2023-06-28 15:42:45,357.0,46.0,12.0,386.0,129.0,The Self Sovereign Identity Service.,19.0,15,True,111.0,3.0,77.0,103.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
101,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-06-22 17:01:59.000000,2023-03-30 20:43:43,609.0,30.0,31.0,217.0,71.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,34.0,15,False,,,45.0,162.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,
102,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-06-29 10:52:16.000000,2023-06-29 10:42:40,330.0,8.0,4.0,73.0,32.0,SDK to work with Polygon ID.,12.0,15,False,104.0,9.0,4.0,8.0,2023-06-29 10:52:16,15.0,,3.0,1.0.0-beta.10,,15.0,,,,,,,,,,,,,,,,,,,
103,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-06-19 10:35:42.466802,2023-06-19 10:30:56,303.0,6.0,2.0,26.0,18.0,OIDC identity provider for SSI & NFTs.,9.0,15,False,76.0,16.0,2.0,33.0,2023-06-19 10:41:14,,40.0,3.0,1.2306191031.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-06-19 10:35:42.466802,605.0,,,,,,,,,,,,,,,
104,fedfm,fedidcg/FedCM,,,standards,['w3c'],https://github.com/fedidcg/FedCM,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-06-23 19:01:04.000000,2023-06-20 14:24:49,657.0,50.0,71.0,239.0,277.0,A privacy preserving identity exchange Web API.,30.0,14,False,18.0,,144.0,97.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
105,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-05-26 09:40:47.000000,2023-05-26 09:40:15,143.0,69.0,27.0,172.0,79.0,Aries Framework .NET for building multiplatform SSI services.,30.0,14,False,2.0,,40.0,28.0,,40.0,,3.0,,,40.0,,,,,,,,,,,,,,,,,,,
106,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,46.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3.0,,,14.0,,,,,,,,,,,,,,,,,,,
107,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,Apache-2.0,2021-10-26 18:13:46,2023-06-29 16:56:55.416195,2023-06-29 16:49:55,367.0,12.0,1.0,77.0,16.0,web-wallet @ walt.id.,15.0,14,False,40.0,9.0,10.0,41.0,2023-01-23 16:08:26,,91.0,3.0,0.6.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-06-29 16:56:55.416195,1830.0,,,,,,,,,,,,,,,
108,beyond,cogolabs/beyond,,,machine,,https://github.com/cogolabs/beyond,https://github.com/cogolabs/beyond,	Apache-2.0,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,25.0,9.0,2.0,230.0,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,5.0,13,False,,4.0,4.0,1.0,2022-05-26 15:15:14,,251.0,3.0,1.8.10,,,cogolabs/beyond,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,17621.0,,,,,,,,,,,,,,,
109,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-06-22 09:05:32.000000,2023-06-21 18:28:51,566.0,17.0,7.0,42.0,65.0,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,10.0,13,False,27.0,12.0,5.0,11.0,,40.0,1.0,3.0,,24.0,40.0,,,,,,,,,,,,,,,,,,,
