,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
148,bbs-signature,https://github.com/decentralized-identity/bbs-signature,specs,The BBS Signature Scheme.,,['dif'],12,False,decentralized-identity/bbs-signature,,https://github.com/decentralized-identity/bbs-signature,Apache-2.0,2021-08-23 11:09:09,2025-07-09 18:30:22.000000,2025-07-07 17:40:36,925.0,9.0,26.0,15.0,187.0,20.0,130.0,88.0,,,,,,19.0,,,,3.0,,,,,,,,,,,,,,,,,,,
149,sidetree.js,https://github.com/transmute-industries/sidetree.js,dids,Sidetree Core Protocol and DID Method Drivers.,,,12,False,transmute-industries/sidetree.js,,https://github.com/transmute-industries/sidetree.js,Apache-2.0,2020-03-05 16:17:28,2023-11-18 18:29:02.000000,2022-09-20 17:04:09,2014.0,,25.0,8.0,432.0,29.0,75.0,50.0,,,1.0,2.0,2.0,14.0,,,,3.0,,,,,,,,,,,,,,,,,,,
150,did-key.rs,https://github.com/decentralized-identity/did-key.rs,dids,Rust implementation of the did:key method.,,['dif'],12,False,decentralized-identity/did-key.rs,,https://github.com/decentralized-identity/did-key.rs,Apache-2.0,2021-01-18 13:26:31,2024-03-18 01:31:53.000000,2023-02-10 20:11:40,37.0,,23.0,13.0,28.0,7.0,9.0,49.0,,,,86.0,86.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,
151,anoncreds,https://github.com/hyperledger/anoncreds-spec,specs,The specification for AnonCreds verifiable credential exchange.,,['hyperledger'],12,False,hyperledger/anoncreds-spec,,https://github.com/hyperledger/anoncreds-spec,Apache-2.0,2022-02-19 17:05:57,2025-04-09 08:18:07.000000,2025-04-09 08:17:48,541.0,,25.0,11.0,145.0,13.0,43.0,48.0,,,,,,28.0,,,,3.0,,,,,,,,,,,,,,,,,,,
152,sphereon-pex,https://github.com/Sphereon-Opensource/PEX,ssi-sdks,A Typescript implementation of the DIF Presentation Exchange specification.,,,12,False,sphereon-opensource/pex,,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2024-12-16 12:31:13.000000,2024-12-16 12:31:12,1177.0,,15.0,5.0,145.0,16.0,29.0,41.0,2024-04-24 20:52:31,3.3.2,30.0,1.0,1.0,20.0,,,2.0,3.0,,114.0,,,,,,,,,,,,,,,,,
153,identity-credential,https://github.com/w3c-fedid/digital-credentials,specs,Proposals related to the invocation of digital identity wallets from the web.,,['w3c'],11,False,wicg/identity-credential,,https://github.com/w3c-fedid/digital-credentials,,2023-04-23 18:07:46,2025-07-11 03:06:26.000000,2025-07-10 17:20:42,187.0,41.0,18.0,51.0,125.0,91.0,99.0,123.0,,,,,,16.0,,,,3.0,,,,,,,,,,,w3c-fedid/digital-credentials,,,,,,,,
154,universal-wallet-interop-spec,https://github.com/w3c-ccg/universal-wallet-interop-spec,specs,A data model and abstract interfaces for digital wallets.,,['w3c'],11,False,w3c-ccg/universal-wallet-interop-spec,,https://github.com/w3c-ccg/universal-wallet-interop-spec,W3C,2020-08-25 01:43:15,2025-04-05 08:13:56.000000,2023-02-22 15:32:05,319.0,,12.0,43.0,47.0,42.0,24.0,56.0,,,,3.0,3.0,10.0,,,,3.0,,,,,,,,,,,,,,,,,,,
155,credible,https://github.com/spruceid/wallet,ssi-agents,A reference credential wallet built on Flutter and DIDKit.,,,11,False,spruceid/wallet,,https://github.com/spruceid/wallet,Apache-2.0,2020-07-23 21:18:28,2025-07-10 12:31:18.000000,2025-07-10 12:31:18,195.0,1.0,18.0,24.0,74.0,12.0,25.0,47.0,,,,,,12.0,,,,3.0,,,,,,,,,,,,,,,,,,,
156,kepler,https://github.com/spruceid/kepler,ssi-sdks,Decentralized storage based on permissioned data overlays called orbits.,,,10,False,spruceid/kepler,,https://github.com/spruceid/kepler,Apache-2.0,2021-03-22 16:14:05,2023-10-20 13:00:41.000000,2023-07-27 11:22:21,202.0,,14.0,23.0,123.0,9.0,15.0,79.0,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,
157,vlei,https://github.com/WebOfTrust/vLEI,specs,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,,,10,False,weboftrust/vlei,,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2025-06-02 20:52:36.000000,2025-06-02 20:52:35,103.0,3.0,12.0,8.0,41.0,21.0,28.0,32.0,,,,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,
158,entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,ssi-sdks,A library to manage your Decentralized Identities and Verified IDs on Android.,,,10,False,microsoft/entra-verifiedid-wallet-library-android,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2025-07-11 19:14:32.000000,2025-07-11 19:14:29,103.0,6.0,10.0,10.0,126.0,3.0,1.0,23.0,2023-06-20 20:22:25,1.0.0,2.0,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,
