,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
71,openbr,biometrics/openbr,,,face,,https://github.com/biometrics/openbr,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-06-13 19:47:28.000000,2022-12-15 18:47:15,4019.0,747.0,254.0,322.0,2801.0,"Open Source Biometrics, Face Recognition.",55.0,22,False,,4.0,63.0,209.0,2015-09-29 22:50:55,,941.0,3.0,1.1.0,109257.0,,,,,,,,,,,,,,,,,,,,
72,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-07-13 11:44:29.000000,2023-07-11 18:35:55,14848.0,644.0,115.0,17.0,662.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,713.0,22,True,38.0,,,,,111.0,,3.0,,,111.0,,,,,,3.0,,,,,,,,,,,,,
73,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-07-10 00:11:11.000000,2023-07-07 14:55:33,1730.0,97.0,21.0,659.0,330.0,A JavaScript Framework for Verifiable Data.,48.0,22,True,27.0,35.0,56.0,333.0,2023-05-02 15:41:47,3.0,,2.0,5.2.0,,3.0,,,,,,1.0,,,,,,,,,,,,,
74,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-07-10 00:47:38.000000,2023-07-03 18:24:54,254.0,14.0,14.0,112.0,70.0,DID resolver for HTTPS domains.,12.0,22,False,11.0,38.0,1.0,10.0,2023-07-03 18:25:08,648.0,19617.0,2.0,2.0.27,,648.0,,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,19617.0,,,,,,,,,,
75,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-07-10 22:46:24.000000,2023-05-05 17:28:31,638.0,256.0,63.0,219.0,3477.0,An SWT based API for managing users and issuing SWT tokens.,38.0,21,True,3.0,2.0,13.0,116.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,,,
76,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-06-29 18:54:02.000000,2023-06-26 17:39:09,391.0,633.0,91.0,303.0,1557.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,47.0,21,True,4.0,25.0,150.0,311.0,2023-05-01 17:52:41,,,3.0,1.6.2,,,,,,,,,,,,,,,,,,,,,
77,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,158.0,92.0,183.0,1201.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,21,True,,17.0,66.0,68.0,2022-06-09 01:42:53,53.0,,2.0,1.0.4,,53.0,,,,,,3.0,,,,,,,,,,,,,
78,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-06-24 11:20:17.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,678.0,425.0,Sidetree Specification and Reference Implementation.,47.0,21,True,,12.0,37.0,441.0,2021-03-09 22:06:35,29.0,,1.0,1.0.2,,29.0,,,,,,,,,,,,,,,,,,,
79,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-03-25 00:05:44.000000,2018-04-16 17:32:11,566.0,4667.0,566.0,121.0,13124.0,Face recognition using Tensorflow.,36.0,20,False,,,495.0,618.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
80,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-07-13 06:58:39.000000,2023-07-12 17:55:51,292.0,75.0,16.0,258.0,294.0,Decentralized Web Node (DWN) Reference implementation.,29.0,20,True,79.0,16.0,36.0,139.0,,58.0,,2.0,,,58.0,,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
