,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
45,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-04-24 14:08:35.000000,2025-04-23 07:59:41,644.0,10.0,70.0,38.0,227.0,4.0,86.0,351.0,2025-04-23 08:00:09,8.0.13,100.0,5795.0,5795.0,42.0,https://www.npmjs.com/package/did-jwt,279779.0,279779.0,1.0,,,,,,,,,,,,,,,,,,,
46,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,,9510.0,643.0,300.0,,,80590.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,718724.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,718724.0,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-04-24 16:09:32.000000,2025-04-24 09:56:52,3660.0,144.0,690.0,57.0,6197.0,675.0,2109.0,10474.0,2025-04-09 12:16:51,2.69.10,100.0,,,185.0,,,1673.0,3.0,,6692.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
48,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-04-04 08:29:47.000000,2025-04-04 08:27:33,2503.0,6.0,1031.0,104.0,873.0,44.0,848.0,5382.0,2025-04-04 08:29:47,5.8.2,70.0,10006.0,10006.0,331.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,,
49,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-04-23 12:44:27.000000,2025-04-23 12:44:26,1998.0,99.0,152.0,32.0,2131.0,40.0,345.0,3756.0,2025-04-07 12:01:02,0.43.0,66.0,29.0,29.0,33.0,,,2239.0,3.0,,109719.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-04-24 01:25:25.000000,2025-04-24 01:25:25,2334.0,94.0,219.0,22.0,2429.0,198.0,803.0,3421.0,2025-02-10 09:12:21,1.5.0,35.0,42.0,42.0,111.0,,,7455.0,3.0,,416.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2025-04-24 01:24:15.714750,3.0,551299.0,,,,,,,,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-04-24 18:20:57.000000,2025-04-23 07:53:31,7104.0,466.0,374.0,41.0,1133.0,9.0,311.0,1536.0,2025-04-16 18:45:14,is-7.2.1,76.0,2765.0,2765.0,336.0,,,,2.0,,,,,,,,,,,,,,,,DuendeSoftware/products,,,
52,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-04-24 13:43:06.000000,2025-04-24 13:41:28,2859.0,34.0,128.0,63.0,320.0,39.0,292.0,933.0,2025-03-18 11:59:27,5.6.1,41.0,173.0,173.0,48.0,,,127448.0,2.0,,18498.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,127272.0,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3507.0,750.0,77.0,2.0,382.0,15350.0,2024-10-04 12:56:15,0.2.2,5.0,92.0,92.0,31.0,,,1413.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,162560.0,,,,,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-04-24 17:23:12.000000,2025-04-22 23:25:22,6967.0,121.0,598.0,138.0,4978.0,171.0,2961.0,5403.0,2025-04-21 20:59:46,release-2025-04-21,100.0,,,137.0,,,17852.0,2.0,,37463.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-04-17 15:59:52.725001,13.0,2002643.0,,,,,,,,,,,,
55,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,28,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2025-04-21 07:16:49.000000,2025-04-21 07:16:47,4567.0,307.0,249.0,25.0,1873.0,50.0,248.0,5358.0,2025-04-17 12:17:47,1.3.7,100.0,4.0,4.0,66.0,,,321.0,3.0,,7714.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
