,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,trending,gem_url,brew_id,apt_id,github,github-id
52,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,28,False,justadudewhohacks/face-api.js,,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3821.0,348.0,113.0,453.0,393.0,17844.0,2020-03-22 14:01:55,0.22.2,,465045.0,38.0,,,25.0,,,,,3.0,face-api.js,https://www.npmjs.com/package/face-api.js,465045.0,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3475.0,736.0,77.0,1.0,382.0,15489.0,2024-10-04 12:56:15,0.2.2,,1278.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163697.0,3.0,,,,,,,,,,,,,,,,
54,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-05-05 17:48:55.000000,2025-12-01 01:00:51,676.0,,71.0,37.0,236.0,5.0,87.0,372.0,2025-08-25 22:29:37,8.0.18,,364371.0,100.0,6231.0,6231.0,42.0,,,,,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,364371.0,,,,,,,,,,,,,
55,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2026-05-07 11:56:52.000000,2026-05-07 11:53:38,591.0,32.0,77.0,26.0,171.0,12.0,49.0,231.0,2026-05-07 11:53:47,11.1.3,,24444.0,75.0,1915.0,1915.0,28.0,,,,,1.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,24444.0,,,,,,,,,,,,,
56,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,27,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,2.0,11972.0,725.0,364.0,,,99083.0,2025-06-26 01:06:09,20250625,,2290878.0,13.0,,,81.0,,,,,3.0,,,,openai-whisper,https://pypi.org/project/openai-whisper,2290878.0,,,,,-2.0,,,,,
57,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,27,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2026-05-07 00:14:54.000000,2026-04-21 18:32:42,2539.0,120.0,1010.0,40.0,2145.0,33.0,387.0,8915.0,2026-03-03 08:17:35,backend/v2.5.0,1204.0,26.0,40.0,341.0,341.0,54.0,,,,,3.0,,,,,,,,,,,,,,,,
58,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,ghcr.io/permify/permify,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2026-05-07 14:12:28.000000,2026-05-07 14:12:23,5864.0,229.0,310.0,24.0,2576.0,54.0,299.0,5868.0,2026-05-05 20:39:24,1.6.10,12624.0,435.0,100.0,4.0,4.0,76.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,3.0,,,,,,,,,,,,,,,,
59,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,27,True,permitio/opal,permitio/opal-server,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-05-04 17:45:32.000000,2026-04-28 10:19:40,2077.0,9.0,273.0,28.0,627.0,52.0,127.0,5453.0,2026-04-28 10:52:44,0.9.5,2043.0,7951.0,76.0,47.0,47.0,75.0,https://hub.docker.com/r/permitio/opal-server,2026-04-28 11:22:26.073029,1.0,498896.0,3.0,,,,,,,,,,,,,,,,
60,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,27,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,,555.0,52.0,7294.0,,1780.0,4620.0,2025-06-30 22:09:21,ockam_v0.157.0,15390.0,320.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
61,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,False,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,185.0,25.0,1531.0,111.0,104.0,3497.0,2024-01-13 04:08:30,0.27.3,3933.0,35819.0,100.0,219.0,219.0,68.0,,,,,3.0,,,,oso,https://pypi.org/project/oso,35757.0,,,,,,,,,,
