,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,new_addition,brew_id,gem_url,apt_id
50,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-05-09 10:57:15.000000,2023-05-09 10:56:44,3161.0,152.0,20.0,1998.0,224.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,57.0,26,True,35.0,14.0,386.0,1193.0,2023-05-09 10:57:15,282.0,,2.0,0.3.2,,282.0,,,,,,,,,,,,,,,,,,,,
51,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-05-08 14:46:53.000000,2023-05-04 14:02:09,304.0,36.0,23.0,85.0,149.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,21.0,26,True,9.0,37.0,5.0,42.0,2023-05-04 14:02:35,568.0,34612.0,2.0,3.1.4,,568.0,,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,34612.0,,,,,,,,,,,
52,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-05-09 10:43:44.000000,2023-05-09 09:25:15,11481.0,300.0,18.0,4207.0,3806.0,The authentication glue you need.,155.0,25,True,684.0,100.0,319.0,918.0,2023-04-18 08:14:30,,39.0,3.0,ersion/2023.4.1,944.0,,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,,
53,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-05-08 18:01:36.000000,2023-05-08 18:01:34,5443.0,301.0,396.0,3848.0,1633.0,Repository for the Lemur Certificate Manager.,147.0,24,True,159.0,25.0,120.0,392.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,48.0,,,,,,,,,,,,,,,,,,,,,
54,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-05-09 09:18:32.000000,2023-05-09 09:09:22,1548.0,96.0,19.0,298.0,1274.0,"Policy and data administration, distribution, and real-time updates on top of Open Policy Agent.",38.0,24,True,181.0,28.0,38.0,62.0,2023-05-01 17:36:10,,1203.0,3.0,0.6.1,377.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-05-01 17:39:59.196694,32088.0,,,,,,,,,,,,,,,,
55,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-05-08 17:16:26.000000,2023-05-08 17:00:32,7341.0,394.0,32.0,1322.0,346.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,113.0,24,True,210.0,51.0,174.0,730.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,,,,
56,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-05-09 07:03:12.000000,2023-04-18 13:29:56,1330.0,59.0,24.0,882.0,253.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,29.0,18.0,56.0,198.0,2023-03-08 16:34:58,78.0,,2.0,0.6.2,,78.0,,,,,,,,,,,,,,,,,,,,
57,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-05-09 10:44:15.000000,2023-05-09 10:44:14,9548.0,36.0,11.0,701.0,52.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,24,False,48.0,60.0,31.0,95.0,2023-04-27 05:57:51,10.0,284.0,2.0,0.55.0,9394.0,10.0,,,,,,1.0,,,,,,,,,,,,,,
58,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-05-09 10:51:47.000000,2023-05-09 08:07:31,729.0,316.0,60.0,251.0,8741.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,69.0,23.0,94.0,307.0,2023-04-01 06:14:01,,,3.0,4.6.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,1.0,,,,,,,,,,,,,,
59,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-04-04 15:04:10.000000,2023-03-08 16:41:32,506.0,256.0,54.0,127.0,4656.0,Windows Hello style facial authentication for Linux.,54.0,23,True,25.0,11.0,159.0,497.0,2020-09-02 15:57:23,,192.0,3.0,2.6.1,12133.0,,,,,,,,,,,,,,,,,,True,,,howdy
60,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-05-09 10:38:48.000000,2023-05-05 18:17:18,15557.0,300.0,51.0,6826.0,933.0,"Mirror of FreeIPA, an integrated security information management solution.",215.0,23,True,67.0,,,,,,40894.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-05-08 05:33:43.710680,5398102.0,,,,,,149.0,,,,,,,,,,
61,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-05-06 18:26:16.000000,2023-05-06 18:26:16,2655.0,234.0,52.0,1954.0,770.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,104.0,100.0,25.0,174.0,2023-05-06 18:16:12,,,3.0,1.11.29,,,,,,,,,,,,,,,,,,,,,,
62,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-05-09 09:37:29.000000,2023-05-08 11:44:10,1606.0,204.0,57.0,266.0,457.0,Universal Resolver implementation and drivers.,92.0,23,True,26.0,6.0,23.0,78.0,2022-01-07 16:42:38,,1541.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-05-08 11:46:19.865845,106334.0,,,,,,,,,,,,,,,,
63,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-05-09 11:00:20.000000,2023-05-06 16:45:45,1353.0,44.0,11.0,369.0,1343.0,Permify is an open-source authorization service inspired by Google Zanzibar.,20.0,22,True,508.0,25.0,22.0,70.0,2023-05-04 20:00:53,,46.0,3.0,0.4.0,415.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,,,
64,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-03-25 00:05:44.000000,2018-04-16 17:32:11,566.0,4659.0,567.0,121.0,13021.0,Face recognition using Tensorflow.,36.0,21,False,,,497.0,615.0,,,,3.0,,,,,,,,,,,,,,,,,,,,True,,,
65,openbr,biometrics/openbr,,,face,,https://github.com/biometrics/openbr,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2022-12-15 18:51:36.000000,2022-12-15 18:47:15,4019.0,748.0,253.0,321.0,2791.0,"Open Source Biometrics, Face Recognition.",55.0,21,False,,4.0,62.0,209.0,2015-09-29 22:50:55,,956.0,3.0,1.1.0,109066.0,,,,,,,,,,,,,,,,,,True,,,
