,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
48,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-05-16 05:31:16.000000,2023-04-27 14:38:09,1723.0,12137.0,1516.0,504.0,45073.0,Deepfakes Software For All.,96.0,27,True,1.0,3.0,20.0,786.0,2020-08-14 17:28:01,,3244.0,3.0,2.0.0,165466.0,,-1.0,,,,,,,,,,,,,,,,,,
49,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-05-25 17:41:13.000000,2023-05-25 17:19:04,32350.0,47.0,26.0,2845.0,233.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,634.0,100.0,315.0,1905.0,2023-05-10 09:56:13,,269.0,3.0,1.0.13,539.0,,,,,,,,,,,,,,,,,,,,
50,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-05-08 01:44:42.000000,2023-03-08 14:05:28,373.0,42.0,24.0,123.0,178.0,Universal did-resolver for javascript environments.,24.0,27,True,2.0,24.0,2.0,19.0,2023-03-08 14:05:37,4041.0,140505.0,1.0,4.1.0,,4041.0,,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,140505.0,,,,,,,,,,
51,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-05-21 15:11:04.000000,2023-05-05 07:31:35,115.0,4004.0,342.0,150.0,37346.0,Robust Speech Recognition via Large-Scale Weak Supervision.,54.0,26,True,35.0,6.0,,,2023-03-15 07:40:02,,163979.0,3.0,20230314,,,,,,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,163979.0,,,,,,
52,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-05-25 12:46:42.000000,2023-05-25 04:09:23,1227.0,87.0,16.0,1176.0,1470.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,26,True,193.0,14.0,108.0,356.0,2023-05-01 01:14:41,42.0,110.0,3.0,1.1.0-alpha.12,18.0,42.0,,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-05-25 03:08:14.369251,5632.0,,,,,,,,,,,,,,
53,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-05-25 10:29:59.000000,2023-05-24 08:19:22,1247.0,66.0,20.0,1326.0,1412.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,26,True,78.0,49.0,36.0,216.0,2023-04-17 07:47:59,11.0,1342.0,3.0,0.26.0,34899.0,11.0,-1.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
54,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-05-25 17:44:12.000000,2023-05-24 20:23:03,3298.0,117.0,46.0,1703.0,673.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,88.0,26,True,64.0,69.0,206.0,901.0,2023-01-26 20:38:30,,82480.0,3.0,1.19.3,315.0,,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-05-17 19:40:23.071711,6845547.0,,,,,30.0,,,,,,,,,
55,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-05-23 16:23:34.000000,2023-05-23 16:23:34,3170.0,152.0,20.0,2010.0,224.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,58.0,26,True,39.0,14.0,386.0,1193.0,2023-05-09 10:57:15,291.0,,2.0,0.3.2,,291.0,,,,,,,,,,,,,,,,,,,
56,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-05-18 13:48:41.000000,2023-05-18 13:48:39,309.0,37.0,24.0,86.0,148.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,22.0,26,True,12.0,39.0,4.0,44.0,2023-05-18 13:49:01,603.0,30775.0,2.0,3.2.1,,603.0,,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,30775.0,,,,,,,,,,
57,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-05-23 13:50:45.000000,2023-04-27 06:45:45,1313.0,8136.0,1071.0,124.0,39597.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,25,True,1.0,2.0,527.0,756.0,2020-04-09 05:48:48,,3856.0,3.0,DF.wf.288res.384.92.72.22,146562.0,,,,,,,,,,,,,,,,,,,,
58,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-05-25 18:06:20.000000,2023-05-25 16:52:21,11624.0,307.0,20.0,4366.0,3890.0,The authentication glue you need.,161.0,25,True,669.0,100.0,323.0,956.0,2023-05-18 19:50:38,,43.0,3.0,ersion/2023.5.1,1045.0,,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
59,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-05-24 14:12:45.000000,2023-05-24 12:00:59,1587.0,103.0,19.0,307.0,1576.0,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",39.0,25,True,197.0,29.0,31.0,72.0,2023-05-10 19:13:49,,1288.0,3.0,0.7.0,392.0,,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-05-23 15:29:19.963711,34373.0,,,,,,,,,,,,,,
60,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-05-25 17:48:20.000000,2023-05-25 17:48:19,5463.0,303.0,395.0,3867.0,1638.0,Repository for the Lemur Certificate Manager.,147.0,24,True,153.0,25.0,120.0,392.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,49.0,,,,,,,,,,,,,,,,,,,,
61,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-05-24 08:45:18.000000,2023-05-23 08:11:04,1342.0,61.0,24.0,895.0,254.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,24.0,18.0,56.0,198.0,2023-03-08 16:34:58,83.0,,2.0,0.6.2,,83.0,,,,,,,,,,,,,,,,,,,
62,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-05-25 15:35:33.000000,2023-05-25 15:35:32,9567.0,38.0,11.0,723.0,53.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,24,False,56.0,61.0,32.0,103.0,2023-05-23 13:25:58,10.0,288.0,2.0,0.56.0,9528.0,10.0,,,,,,,,,,,,,,,,,,,
63,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-05-04 16:25:40.000000,2023-05-04 16:25:34,322.0,1552.0,190.0,22.0,11688.0,Real-time face swap for PC streaming or video calls.,10.0,23,True,2.0,35.0,1.0,120.0,2023-01-21 09:26:53,,15533.0,3.0,TINA_SHIFT,357279.0,,,,,,,,,,,,,,,,,,,,
64,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-05-25 14:00:05.000000,2023-05-16 13:00:35,731.0,326.0,65.0,259.0,9396.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,63.0,24.0,91.0,316.0,2023-05-09 12:39:51,,,3.0,5.0.0,,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
65,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-05-25 14:54:12.000000,2023-05-25 14:51:00,1426.0,49.0,12.0,385.0,1459.0,Permify is an open-source authorization service inspired by Google Zanzibar.,21.0,23,True,475.0,28.0,21.0,76.0,2023-05-25 15:52:08,,52.0,3.0,0.4.3,472.0,,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
66,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-05-25 13:37:41.000000,2023-05-24 19:50:56,15571.0,300.0,51.0,6856.0,941.0,"Mirror of FreeIPA, an integrated security information management solution.",216.0,23,True,63.0,,,,,,41045.0,3.0,,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-05-24 09:24:38.426941,5418012.0,,,,,149.0,,,,,,,,,
67,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-05-24 13:32:01.000000,2023-05-20 16:46:37,2668.0,236.0,52.0,1966.0,774.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,101.0,100.0,27.0,178.0,2023-05-16 18:29:19,,,3.0,1.11.30,,,,,,,,,,,,,,,,,,,,,
68,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-05-25 01:35:14.000000,2023-05-19 14:13:36,1610.0,206.0,58.0,267.0,458.0,Universal Resolver implementation and drivers.,94.0,23,True,29.0,6.0,23.0,78.0,2022-01-07 16:42:38,,1555.0,2.0,0.5.0,,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-05-19 14:15:27.541139,107347.0,,,,,,,,,,,,,,
69,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-05-25 15:37:14.000000,2023-05-17 12:36:42,7352.0,399.0,32.0,1333.0,347.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,114.0,23,True,156.0,51.0,175.0,732.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,,,
70,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-04-04 15:04:10.000000,2023-03-08 16:41:32,506.0,255.0,54.0,127.0,4685.0,Windows Hello style facial authentication for Linux.,54.0,22,True,4.0,11.0,164.0,499.0,2020-09-02 15:57:23,,195.0,3.0,2.6.1,12299.0,,-1.0,,,,,,,,,,,,,,,,,,howdy
71,facenet,davidsandberg/facenet,,,face,,https://github.com/davidsandberg/facenet,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-03-25 00:05:44.000000,2018-04-16 17:32:11,566.0,4657.0,567.0,121.0,13057.0,Face recognition using Tensorflow.,36.0,21,False,,,497.0,615.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
72,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-05-15 22:35:11.000000,2023-05-05 17:28:31,638.0,253.0,65.0,218.0,3418.0,An SWT based API for managing users and issuing SWT tokens.,38.0,21,True,3.0,2.0,12.0,111.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,,,
73,openbr,biometrics/openbr,,,face,,https://github.com/biometrics/openbr,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2022-12-15 18:51:36.000000,2022-12-15 18:47:15,4019.0,748.0,253.0,321.0,2794.0,"Open Source Biometrics, Face Recognition.",55.0,21,False,,4.0,62.0,209.0,2015-09-29 22:50:55,,957.0,3.0,1.1.0,109121.0,,,,,,,,,,,,,,,,,,,,
74,appauth-ios,openid/appauth-ios,,,authentication,['openid'],https://github.com/openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-05-01 17:52:41.000000,2023-04-28 17:27:10,390.0,624.0,90.0,302.0,1540.0,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,21,True,5.0,25.0,158.0,299.0,2023-05-01 17:52:41,,,3.0,1.6.2,,,,,,,,,,,,,,,,,,,,,
75,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-05-25 18:03:02.000000,2023-05-24 20:43:12,766.0,128.0,25.0,897.0,185.0,Aries Framework JavaScript (Built using TypeScript).,52.0,21,True,76.0,74.0,156.0,392.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,,,
76,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-05-22 00:36:35.000000,2023-05-14 15:40:34,245.0,14.0,14.0,112.0,69.0,DID resolver for HTTPS domains.,12.0,21,False,9.0,35.0,1.0,10.0,2023-05-14 15:40:43,594.0,19319.0,2.0,2.0.24,,594.0,,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,19319.0,,,,,,,,,,
77,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-24 18:28:00.000000,2023-04-04 19:14:54,1149.0,100.0,43.0,677.0,421.0,Sidetree Specification and Reference Implementation.,47.0,20,True,1.0,12.0,38.0,440.0,2021-03-09 22:06:35,28.0,,1.0,1.0.2,,28.0,,,,,,,,,,,,,,,,,,,
78,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-05-25 07:09:30.000000,2023-05-19 12:00:12,1714.0,97.0,20.0,644.0,313.0,A JavaScript Framework for Verifiable Data.,48.0,20,True,32.0,35.0,57.0,332.0,2023-05-02 15:41:47,2.0,,2.0,5.2.0,,2.0,-1.0,,,,,,,,,,,,,,,,,,
79,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-05-21 18:52:07.000000,2023-05-21 18:52:03,338.0,765.0,234.0,224.0,2465.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,46.0,19,True,6.0,,158.0,502.0,,,,3.0,,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
80,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,156.0,95.0,183.0,1192.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,19,True,8.0,17.0,62.0,68.0,2022-06-09 01:42:53,,,3.0,1.0.4,,,,,,,,,,,,,,,,,,,,,
81,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-05-25 13:21:14.000000,2023-05-17 19:17:43,2039.0,137.0,167.0,788.0,970.0,Web Authentication: An API for accessing Public Key Credentials.,67.0,19,True,24.0,7.0,74.0,988.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,,,
82,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-05-19 16:14:03.000000,2023-05-16 18:07:44,14798.0,641.0,115.0,17.0,657.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,712.0,19,True,13.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
83,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,205.0,58.0,564.0,298.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,14.0,,49.0,169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
84,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-05-25 17:31:34.000000,2023-05-23 17:59:01,254.0,68.0,16.0,217.0,285.0,Decentralized Web Node (DWN) Reference implementation.,27.0,19,True,81.0,13.0,38.0,124.0,,32.0,,3.0,,,32.0,,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,,
85,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-05-24 00:56:11.000000,2023-04-15 21:46:00,532.0,12.0,5.0,510.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,3.0,19.0,4.0,77.0,2022-05-29 21:14:21,441.0,645.0,3.0,1.6.0,15483.0,441.0,,,,,,,,,,,,,,,,,,,
86,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,256.0,94.0,41.0,2097.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,,28.0,22.0,,,1848.0,3.0,,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1848.0,,,,,,
87,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,149.0,37.0,93.0,921.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,18,True,,,29.0,102.0,,1630.0,,3.0,,,1630.0,,,,,,,,,,,,,,,,,,,
88,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-05-25 15:41:08.000000,2023-05-22 16:55:49,1337.0,71.0,83.0,580.0,232.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,57.0,18,True,94.0,,71.0,474.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
89,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-05-25 13:44:32.000000,2023-05-05 07:05:25,482.0,8.0,4.0,46.0,22.0,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,18,False,263.0,8.0,2.0,3.0,2023-03-17 00:39:19,13.0,,3.0,0.4.0,,13.0,,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,
90,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,215.0,65.0,102.0,2209.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,40.0,5.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,,
91,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-05-19 16:36:58.000000,2023-05-10 21:38:22,528.0,142.0,82.0,196.0,1234.0,The SPIFFE Project.,57.0,17,True,15.0,,17.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
92,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-05-25 15:11:08.000000,2023-05-24 21:09:00,3550.0,67.0,27.0,5.0,228.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
93,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-05-25 13:24:41.000000,2023-05-24 23:47:55,1430.0,94.0,22.0,591.0,101.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,35.0,17,True,117.0,,43.0,142.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
94,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-05-23 23:30:19.368279,2023-05-15 14:32:17,646.0,24.0,2.0,88.0,26.0,"Supercharge your app with SSI, NFTs or fungible tokens.",12.0,17,False,67.0,16.0,2.0,39.0,2023-05-15 14:38:12,,27.0,3.0,1.2305151432.0,,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-05-23 23:30:19.368279,559.0,,,,,,,,,,,,,,
95,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-05-24 01:38:38.000000,2023-05-24 01:38:37,254.0,43.0,13.0,254.0,167.0,self sovereign identity sdk.,15.0,16,True,68.0,4.0,42.0,96.0,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,
96,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-05-25 00:17:13.000000,2023-04-24 13:49:11,521.0,38.0,28.0,336.0,142.0,Core library for decentralized identity.,20.0,16,True,8.0,,68.0,100.0,,103.0,,3.0,,,103.0,,,,,,,,,,,,,,,,,,,
97,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-05-01 01:04:53.000000,2023-05-01 01:04:47,880.0,7.0,6.0,96.0,23.0,A Typescript implementation of the DIF Presentation Exchange specification.,13.0,16,False,23.0,24.0,3.0,14.0,2023-04-30 19:45:02,51.0,2.0,3.0,2.0.0,49.0,51.0,,,,,,,,,,,,,,,,,,,
98,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-05-21 19:37:44.000000,2023-05-18 22:52:30,880.0,35.0,50.0,156.0,412.0,Solid Technical Reports.,19.0,15,True,35.0,1.0,181.0,126.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
99,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,369.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,1.0,,26.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
100,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-03-30 20:44:08.000000,2023-03-30 20:43:43,609.0,30.0,32.0,214.0,71.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,34.0,15,False,3.0,,46.0,160.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
101,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-05-23 16:53:23.000000,2023-05-23 16:47:33,263.0,5.0,5.0,61.0,28.0,SDK to work with Polygon ID.,11.0,15,False,72.0,8.0,4.0,5.0,2023-05-23 16:53:24,10.0,,3.0,1.0.0-beta.9,,10.0,,,,,,,,,,,,,,,,,,,
102,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-05-25 15:24:44.000000,2023-05-25 15:23:50,271.0,6.0,2.0,21.0,13.0,OIDC identity provider for SSI & NFTs.,8.0,15,False,78.0,13.0,4.0,31.0,2023-05-24 10:24:55,,38.0,3.0,1.2305241014.0,,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-05-24 10:19:52.398915,542.0,,,,,,,,,,,,,,
