,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
49,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-08-03 15:48:17.000000,2023-08-03 15:48:16,1322.0,78.0,24.0,1398.0,1576.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",22.0,28,True,93.0,52.0,44.0,244.0,2023-07-18 06:50:17,11.0,1449.0,3.0,0.29.0,11.0,42042.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
50,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-08-03 11:25:19.000000,2023-03-08 14:05:28,373.0,42.0,24.0,124.0,185.0,Universal did-resolver for javascript environments.,24.0,28,True,,24.0,3.0,18.0,2023-03-08 14:05:37,4463.0,159158.0,1.0,4.1.0,4463.0,,,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,159158.0,,,,,,,,,,
51,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-08-03 18:13:01.000000,2023-08-03 18:13:01,32747.0,48.0,28.0,3240.0,267.0,"Welcome to the Janssen Project, a collaboration hub for digital identity infrastructure software... and introducing..",107.0,27,True,538.0,100.0,315.0,2155.0,2023-08-02 13:55:07,,385.0,3.0,1.0.16,,1541.0,,,,,,,,,,,,,,,,,,,
52,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-07-31 01:14:58.000000,2023-07-24 00:40:06,320.0,37.0,23.0,86.0,151.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,22.0,27,True,16.0,42.0,4.0,45.0,2023-06-27 04:43:49,668.0,28236.0,1.0,3.2.4,668.0,,,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,28236.0,,,,,,,,,,
53,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-06-24 17:40:40.000000,2023-04-27 06:45:45,1313.0,8583.0,1079.0,127.0,41755.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,26,True,,2.0,525.0,789.0,2020-04-09 05:48:48,,3807.0,3.0,DF.wf.288res.384.92.72.22,,156121.0,,,,,,,,,,,,,,,,,,,
54,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-08-03 18:11:17.000000,2023-08-03 17:22:17,12148.0,347.0,21.0,4891.0,4324.0,The authentication glue you need.,178.0,26,True,709.0,100.0,369.0,1069.0,2023-07-10 11:46:48,,74.0,3.0,ersion/2023.6.1,,1943.0,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
55,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-08-03 10:23:44.000000,2023-08-03 06:09:48,1433.0,97.0,16.0,1392.0,1570.0,"Kanidm: A simple, secure and fast identity management platform.",47.0,26,True,254.0,15.0,118.0,402.0,2023-08-01 05:15:57,42.0,147.0,3.0,1.1.0-beta.13,42.0,29.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-08-02 00:36:32.237678,7950.0,,,,,,,,,,,,,,,
56,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-08-03 17:49:34.000000,2023-07-27 21:27:58,3329.0,117.0,45.0,1771.0,684.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,93.0,26,True,47.0,71.0,207.0,901.0,2023-05-17 19:48:54,,80328.0,3.0,1.19.5,,347.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-08-02 18:49:20.726557,6907825.0,,,,,,30.0,,,,,,,,,
57,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-08-03 11:08:24.000000,2023-08-02 16:44:16,3185.0,153.0,20.0,2028.0,230.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,58.0,26,True,26.0,14.0,388.0,1195.0,2023-05-09 10:57:15,309.0,,2.0,0.3.2,309.0,,,,,,,,,,,,,,,,,,,,
58,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-08-03 16:52:25.000000,2023-08-02 13:07:14,5632.0,305.0,402.0,3957.0,1643.0,Repository for the Lemur Certificate Manager.,147.0,25,True,192.0,26.0,130.0,393.0,2023-07-05 22:37:33,,0.0,3.0,1.5.0,,51.0,,,,,,,,,,,,,,,,,,,
59,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-08-03 15:47:49.000000,2023-08-03 11:03:58,1375.0,64.0,24.0,934.0,256.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,25,True,45.0,19.0,55.0,199.0,2023-08-03 12:40:02,95.0,,2.0,0.6.3,95.0,,,,,,,1.0,,,,,,,,,,,,,
60,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-08-03 05:39:04.000000,2023-07-06 19:48:08,117.0,4681.0,373.0,167.0,42282.0,Robust Speech Recognition via Large-Scale Weak Supervision.,55.0,24,True,2.0,6.0,,,2023-03-15 07:40:02,,170416.0,3.0,20230314,,,,,,,,-1.0,,,,,openai-whisper,https://pypi.org/project/openai-whisper,170416.0,,,,,,
61,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-07-27 16:03:43.000000,2023-07-27 16:03:42,1649.0,110.0,19.0,321.0,1755.0,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",41.0,24,True,111.0,31.0,29.0,74.0,2023-06-27 11:40:41,,2561.0,3.0,0.7.3,,495.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-06-27 11:45:23.570678,76349.0,,,,,,,,,,,,,,,
62,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-08-03 18:12:53.000000,2023-08-03 18:12:53,7752.0,412.0,29.0,1404.0,360.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,121.0,24,True,405.0,59.0,218.0,773.0,2023-07-24 22:28:58,,,2.0,0.9.0,,,,,,,,,,,,,,,,,,,,,
63,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-08-03 14:34:55.000000,2023-07-31 22:43:45,9605.0,40.0,11.0,774.0,53.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,24,False,60.0,63.0,36.0,105.0,2023-07-31 12:40:39,10.0,315.0,2.0,0.57.1,10.0,11359.0,,,,,,,,,,,,,,,,,,,
64,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,2352.0,237.0,25.0,16621.0,Real-time face swap for PC streaming or video calls.,11.0,23,True,4.0,35.0,1.0,132.0,2023-01-21 09:26:53,,19420.0,3.0,TINA_SHIFT,,504930.0,,,,,,,,,,,,,,,,,,,
65,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-08-03 17:59:29.000000,2023-08-01 13:58:39,832.0,355.0,62.0,321.0,9762.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,104.0,32.0,97.0,324.0,2023-08-01 16:27:20,,,3.0,6.0.8,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,,
66,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-08-01 17:59:53.000000,2023-08-01 17:59:49,1701.0,53.0,13.0,488.0,1561.0,Permify is an open-source authorization service inspired by Google Zanzibar.,23.0,23,True,343.0,33.0,26.0,82.0,2023-07-27 18:16:37,,79.0,3.0,0.4.8,,949.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,,
67,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-08-03 04:08:45.000000,2023-08-01 11:47:56,15643.0,300.0,51.0,6938.0,977.0,"Mirror of FreeIPA, an integrated security information management solution.",217.0,23,True,86.0,,,,,,40685.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-08-02 06:31:57.301073,5492568.0,,,,,,151.0,,,,,,,,,
68,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-08-02 22:07:20.000000,2023-08-02 22:07:17,2742.0,241.0,52.0,2026.0,792.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,72.0,23,True,88.0,100.0,29.0,189.0,2023-07-29 16:33:05,,,3.0,1.11.37,,,,,,,,,,,,,,,,,,,,,
69,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-08-03 12:25:53.000000,2023-07-03 07:15:03,1622.0,210.0,59.0,272.0,471.0,Universal Resolver implementation and drivers.,95.0,23,True,17.0,6.0,24.0,79.0,2022-01-07 16:42:38,,1535.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-07-03 07:17:03.049207,110526.0,,,,,,,,,,,,,,,
70,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-07-22 16:05:49.000000,2023-06-25 10:52:49,510.0,258.0,54.0,132.0,4815.0,Windows Hello style facial authentication for Linux.,55.0,22,True,4.0,11.0,178.0,508.0,2020-09-02 15:57:23,,198.0,3.0,2.6.1,,13071.0,,,,,,,,,,,,,,,,,,,howdy
71,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-07-28 16:00:24.000000,2023-07-20 04:46:01,14851.0,646.0,114.0,17.0,664.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,713.0,22,True,36.0,,,,,113.0,,3.0,,113.0,,,,,,,,,,,,,,,,,,,,
72,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-08-03 13:16:10.000000,2023-08-01 18:20:01,1752.0,99.0,21.0,669.0,335.0,A JavaScript Framework for Verifiable Data.,49.0,22,True,42.0,37.0,56.0,335.0,2023-08-01 15:01:45,3.0,,2.0,5.4.0,3.0,,,,,,,,,,,,,,,,,,,,
