,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
38,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1738.0,Solid server on top of the file-system in NodeJS.,85.0,29,True,12.0,51.0,275.0,610.0,2023-03-17 17:09:04,37.0,8819.0,1.0,5.7.7,,37.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,852715.0,,solid-server,https://www.npmjs.com/package/solid-server,620.0,,4.0,,,,,,,,,
39,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-05-18 18:11:33.000000,2023-05-10 16:54:35,4743.0,222.0,38.0,586.0,1032.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,248.0,40.0,60.0,200.0,2023-05-16 17:22:34,1017.0,,3.0,6.3.0,,1017.0,,,,,,,,,,,,,,,,,,,
40,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-05-17 19:03:57.000000,2023-05-17 19:03:55,571.0,62.0,38.0,200.0,291.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,18.0,95.0,8.0,73.0,2023-05-17 19:04:34,3306.0,93549.0,1.0,7.2.0,,3306.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,93549.0,,,,,,,,,,,
41,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-05-16 05:31:16.000000,2023-04-27 14:38:09,1723.0,12111.0,1514.0,504.0,44928.0,Deepfakes Software For All.,96.0,28,True,9.0,3.0,19.0,786.0,2020-08-14 17:28:01,,3033.0,3.0,2.0.0,154693.0,,,,,,,,,,-1.0,,,,,,,,,,
42,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-11-04 19:08:42.000000,2019-11-26 15:56:28,734.0,3467.0,764.0,73.0,14752.0,Face recognition with deep neural networks.,30.0,28,False,,4.0,9.0,370.0,2016-02-25 17:42:46,66.0,1729.0,3.0,0.2.1,,66.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,159111.0,,,,,,70.0,,,,,,,,,
43,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-05-18 16:06:23.000000,2023-05-18 14:03:53,1608.0,719.0,50.0,1009.0,6029.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,118.0,28,True,241.0,100.0,99.0,696.0,2023-05-18 14:17:46,1.0,1504.0,2.0,1.316.1,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-05-18 11:06:21.389752,46639.0,,,,,,6.0,,,,,,,,,
44,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-05-18 17:59:30.000000,2023-05-18 15:25:03,4138.0,203.0,34.0,3587.0,5774.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,34.0,28,True,734.0,41.0,44.0,204.0,2023-05-18 14:45:47,6.0,504.0,2.0,1.3.1,1671.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-05-18 15:35:34.506811,8648.0,,,,,,1.0,,,,,,,,,
45,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-05-18 17:32:52.000000,2023-05-18 16:04:14,6187.0,526.0,138.0,4095.0,4632.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,149.0,66.0,181.0,2613.0,2023-05-15 21:41:41,,22735.0,2.0,release-2023-05-15,52075.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-05-03 02:37:18.589906,1920681.0,,,,,,12.0,,,,,,,,,
46,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-05-11 20:49:59.000000,2023-04-19 14:14:39,1395.0,286.0,59.0,962.0,4029.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,62.0,50.0,44.0,249.0,,2.0,745476.0,3.0,,14823.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,46202552.0,,,,,,6.0,,,,,,,,,
47,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-05-18 17:14:40.000000,2023-05-17 14:22:16,2182.0,182.0,23.0,4104.0,3447.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,53.0,28,True,226.0,100.0,361.0,1117.0,2023-05-15 15:28:02,1.0,360.0,2.0,2.27.0,1802.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
48,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,146.0,31.0,1503.0,3042.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,18.0,100.0,100.0,97.0,2023-04-03 23:25:23,70.0,45546.0,3.0,0.27.0,2171.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,45466.0,,,,,,
49,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-05-18 14:10:00.000000,2023-05-18 14:10:00,1246.0,65.0,21.0,1322.0,1383.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,80.0,49.0,35.0,214.0,2023-04-17 07:47:59,11.0,1324.0,3.0,0.26.0,34446.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
50,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-05-18 18:10:03.000000,2023-05-18 17:53:19,32308.0,47.0,23.0,2804.0,228.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,671.0,100.0,321.0,1866.0,2023-05-10 09:56:13,,259.0,3.0,1.0.13,519.0,,,,,,,,,,,,,,,,,,,,
51,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-05-08 01:44:42.000000,2023-03-08 14:05:28,373.0,42.0,23.0,123.0,177.0,Universal did-resolver for javascript environments.,24.0,27,True,2.0,24.0,3.0,18.0,2023-03-08 14:05:37,3989.0,149830.0,1.0,4.1.0,,3989.0,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,149830.0,,,,,,,,,,,
52,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-05-18 15:30:27.000000,2023-05-05 07:31:35,115.0,3903.0,343.0,148.0,36520.0,Robust Speech Recognition via Large-Scale Weak Supervision.,54.0,26,True,35.0,6.0,,,2023-03-15 07:40:02,,158136.0,3.0,20230314,,,,,,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,158136.0,,,,,,
