,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
67,dwn-sdk-js,TBD54566975/dwn-sdk-js,,,decentralized,['web5'],https://github.com/TBD54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-04-24 08:12:30.000000,2023-04-20 03:04:27,215.0,63.0,16.0,173.0,277.0,Decentralized Web Node (DWN) Reference implementation.,24.0,19,True,61.0,10.0,44.0,97.0,,20.0,,2.0,,,20.0,,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,,,,,,
68,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-04-15 21:46:40.000000,2023-04-15 21:46:00,532.0,12.0,5.0,505.0,23.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,8.0,19.0,4.0,77.0,2022-05-29 21:14:21,415.0,657.0,2.0,1.6.0,15132.0,415.0,,,,,,,,,,,,,,,,,
69,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-04-01 02:17:34.000000,2023-03-28 20:25:10,143.0,254.0,94.0,41.0,2058.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,23.0,18,True,2.0,,29.0,22.0,,,1370.0,3.0,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1370.0,,,,,,
70,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-04-22 20:43:16.000000,2023-04-22 16:31:02,1284.0,69.0,85.0,560.0,227.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,56.0,18,True,49.0,,64.0,459.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
71,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-03-17 11:47:08.000000,2023-03-17 11:45:53,148.0,213.0,65.0,102.0,2197.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,49.0,17,True,1.0,40.0,4.0,53.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,
72,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-04-22 00:08:44.000000,2023-04-22 00:08:44,525.0,142.0,82.0,193.0,1218.0,The SPIFFE Project.,56.0,17,True,22.0,,17.0,37.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
73,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-04-20 13:52:53.000000,2023-04-20 08:22:44,3548.0,67.0,27.0,5.0,225.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
74,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-04-24 17:26:42.000000,2023-04-24 17:26:42,1374.0,89.0,22.0,549.0,93.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,31.0,17,False,87.0,,40.0,128.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
75,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-04-24 07:28:37.805155,2023-04-24 07:20:43,627.0,21.0,2.0,79.0,23.0,"Supercharge your app with SSI, NFTs or fungible tokens.",11.0,17,False,148.0,9.0,1.0,38.0,2023-01-23 16:25:45,,25.0,3.0,0.6.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-04-24 07:28:37.805155,484.0,,,,,,,,,,,,,
76,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OpenID4VCI,https://github.com/Sphereon-Opensource/OpenID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-04-24 11:40:48.000000,2023-04-20 14:55:47,428.0,5.0,4.0,41.0,17.0,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,17,False,213.0,8.0,,3.0,2023-03-17 00:39:19,11.0,,3.0,0.4.0,,11.0,,,,,,,,,,,,,,,,,
