,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
116,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,10.0,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,11,False,3.0,,3.0,,,26.0,,3.0,,,26.0,,,,,,,,,,,,,,,,,,,
117,credible,spruceid/credible,spruceid,,decentralized,,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,36.0,A reference credential wallet built on Flutter and DIDKit.,11.0,10,False,,,10.0,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
118,vlei,weboftrust/vlei,,,standards,,https://github.com/WebOfTrust/vLEI,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2023-05-18 17:06:06.000000,2023-05-18 17:06:05,84.0,9.0,7.0,31.0,14.0,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,4.0,8,False,2.0,,20.0,27.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
119,entra-verifiedid-wallet-library-ios,microsoft/entra-verifiedid-wallet-library-ios,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-05-31 23:34:17.000000,2023-04-21 22:49:40,45.0,3.0,9.0,43.0,10.0,A library to manage your Decentralized Identities and Verified IDs on iOS.,3.0,8,False,25.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
120,entra-verifiedid-wallet-library-android,microsoft/entra-verifiedid-wallet-library-android,,,decentralized,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2023-06-01 18:06:55.000000,2023-05-30 16:34:10,45.0,1.0,9.0,41.0,9.0,A library to manage your Decentralized Identities and Verified IDs on Android.,4.0,8,False,27.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
121,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,7.0,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,8,False,,1.0,1.0,6.0,2023-02-06 15:38:55,,,3.0,1.2302061536.0,,,,,,,,,,,,,,,,,,,,,
122,connectme,evernym/connectme,evernym-ssi,,decentralized,,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,2.0,4.0,,2.0,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,5,False,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
123,cfssl,cloudfare/cfssl,,,pki,,,{},,,2023-05-22 16:02:34.042761,,,,,,23.0,CloudFlares PKI toolkit.,,2,False,,,,,,,,3.0,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2023-05-22 16:02:34.042761,3966425.0,,,,,23.0,,,,,,,,,,
124,vc-api,w3c-ccg/vs-api,,,standards,['w3c'],,{},W3C,,,,,,,,,,,1,False,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
125,decentralized-web-node,decentralized-identity/decentralize-web-node,,,standards,"['dif', 'web5']",,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,didcomm-messaging,decentralized-identity/didcomm-messagging,,,standards,['dif'],,{},,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,keripyhyperledger,,,,decentralized,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,selective-disclosure-jwt,oauth-selective-disclosure-jwt,,,decentralized,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
