,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
55,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-05-10 20:12:48.000000,2023-05-10 16:11:04,3163.0,152.0,20.0,2003.0,224.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,57.0,26,True,35.0,14.0,386.0,1193.0,2023-05-09 10:57:15,284.0,,2.0,0.3.2,,284.0,,,,,,,,,,,,,,,,,,
56,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-05-11 17:57:11.000000,2023-05-11 14:52:30,11511.0,301.0,18.0,4236.0,3816.0,The authentication glue you need.,156.0,25,True,696.0,100.0,313.0,928.0,2023-04-18 08:14:30,,40.0,3.0,ersion/2023.4.1,960.0,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
57,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-05-11 15:14:02.000000,2023-05-10 18:54:00,1573.0,96.0,19.0,303.0,1316.0,"Policy and data administration, distribution, and real-time updates on top of Open Policy Agent.",38.0,25,True,205.0,29.0,31.0,69.0,2023-05-10 19:13:49,,1219.0,3.0,0.7.0,378.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-05-10 19:35:17.794697,32527.0,,,,,,,,,,,,,,
58,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-05-09 16:37:36.000000,2023-05-09 16:37:34,306.0,36.0,23.0,85.0,148.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,22.0,25,True,9.0,38.0,5.0,42.0,2023-05-09 16:37:51,577.0,35510.0,2.0,3.2.0,,577.0,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,35510.0,,,,,,,,,,
59,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-04-27 06:45:48.000000,2023-04-27 06:45:45,1313.0,8056.0,1070.0,123.0,39178.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,24,True,1.0,2.0,526.0,755.0,2020-04-09 05:48:48,,3737.0,3.0,DF.wf.288res.384.92.72.22,142029.0,,,,,,,,,,,,,,,,,,,
60,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-05-08 18:01:36.000000,2023-05-08 18:01:34,5443.0,301.0,396.0,3848.0,1633.0,Repository for the Lemur Certificate Manager.,147.0,24,True,151.0,25.0,120.0,392.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,48.0,,,,,,,,,,,,,,,,,,,
61,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-05-10 14:49:37.000000,2023-05-10 14:02:02,7343.0,394.0,32.0,1323.0,346.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,113.0,24,True,201.0,51.0,174.0,731.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,,
62,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-05-11 15:54:37.000000,2023-05-11 15:54:36,1331.0,59.0,24.0,882.0,253.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,30.0,18.0,56.0,198.0,2023-03-08 16:34:58,79.0,,2.0,0.6.2,,79.0,,,,,,,,,,,,,,,,,,
63,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-05-11 13:39:41.000000,2023-05-10 15:45:01,9550.0,37.0,11.0,703.0,52.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,24,False,50.0,60.0,31.0,98.0,2023-04-27 05:57:51,10.0,286.0,2.0,0.55.0,9446.0,10.0,,,,,,,,,,,,,,,,,,
64,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-05-04 16:25:40.000000,2023-05-04 16:25:34,322.0,1490.0,186.0,22.0,11333.0,Real-time face swap for PC streaming or video calls.,10.0,23,True,2.0,35.0,1.0,117.0,2023-01-21 09:26:53,,14320.0,3.0,TINA_SHIFT,329360.0,,,,,,,,,,,,,,,,,,,
