,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id
52,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-12-07 10:07:03.000000,2023-11-06 01:34:30,355.0,23.0,38.0,23.0,93.0,2.0,47.0,158.0,52.0,819.0,819.0,22.0,https://www.npmjs.com/package/did-jwt-vc,19168.0,19168.0,1.0,,2023-11-01 14:53:16,3.2.14,,,,,,,,,,,,,,,,
53,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-12-03 15:54:14.000000,2023-12-02 09:42:10,2431.0,21.0,725.0,73.0,233.0,,,2877.0,100.0,2.0,2.0,68.0,https://www.npmjs.com/package/oidc-provider,206249.0,206249.0,3.0,,2023-12-02 09:43:01,8.4.2,,,,,,,,,,,,,,,,
54,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,26,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-12-07 10:12:00.000000,2023-12-07 10:00:09,1717.0,178.0,113.0,17.0,1690.0,139.0,490.0,1797.0,17.0,42.0,42.0,59.0,,,330.0,3.0,kanidm/server,2023-10-31 12:08:26,1.1.0-rc.15,140.0,https://hub.docker.com/r/kanidm/server,2023-12-03 07:56:06.603960,,19066.0,,,,,,,,,,,
55,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-12-05 02:32:05.000000,2023-12-05 02:32:05,5995.0,289.0,308.0,410.0,4130.0,117.0,417.0,1672.0,27.0,,,152.0,,,0.0,3.0,,2023-10-23 21:10:51,1.6.0,51.0,,,,,,,,,,,,,,,
56,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],25,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-11-30 20:07:17.572171,2023-11-30 19:57:58,2955.0,3.0,289.0,80.0,833.0,286.0,610.0,1753.0,51.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,911.0,9557.0,1.0,nodesolidserver/node-solid-server,2023-03-17 17:09:04,5.7.7,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-11-30 20:07:17.572171,4.0,959762.0,,,,1.0,,,,,,,
57,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-12-07 00:23:31.000000,2023-12-07 00:23:31,2919.0,127.0,256.0,52.0,2196.0,37.0,201.0,817.0,100.0,26.0,26.0,79.0,,,,3.0,,2023-12-07 00:08:14,1.11.48,,,,,,,,,,,,,,,,
58,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,34.0,122.0,48.0,1887.0,207.0,901.0,720.0,73.0,,,96.0,,,78025.0,3.0,cyberark/conjur,2023-08-04 21:07:07,1.20.0,370.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7021837.0,,,,,,,,,,,
59,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-12-07 18:17:06.000000,2023-12-07 17:52:55,8451.0,370.0,435.0,29.0,1555.0,216.0,885.0,372.0,72.0,,,129.0,,,,1.0,,2023-11-25 05:08:09,0.11.0,,,,,,,,,,,,,,,,
60,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-12-07 11:29:59.000000,2023-12-03 12:16:02,1819.0,42.0,107.0,23.0,732.0,62.0,350.0,370.0,42.0,534.0,534.0,51.0,,,,1.0,,2023-10-09 11:46:16,5.5.3,,,,,,,,,,,,,,,,
61,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],24,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-12-07 01:28:45.000000,2023-12-06 01:28:04,420.0,93.0,88.0,17.0,405.0,55.0,182.0,314.0,27.0,200.0,200.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,2023-12-04 19:16:00,0.2.9,,,,,,,,,1.0,,,,,,,
62,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-12-06 18:51:28.000000,2023-12-04 10:33:08,1420.0,34.0,71.0,24.0,983.0,59.0,202.0,274.0,23.0,105.0,105.0,35.0,,,,2.0,,2023-11-02 09:48:53,1.0.0,,,,,,,,,,,,,,,,
63,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-12-07 12:33:13.000000,2023-12-06 14:51:08,928.0,73.0,397.0,62.0,430.0,101.0,346.0,10793.0,57.0,,,26.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,2023-12-07 05:06:05,7.0.16,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
64,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-12-07 18:11:16.000000,2023-12-07 18:11:13,4034.0,10.0,755.0,254.0,329.0,63.0,209.0,2819.0,4.0,,,55.0,,,906.0,3.0,,2015-09-29 22:50:55,1.1.0,109678.0,,,,,,,,,,,,,,,
65,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-12-05 19:09:06.000000,2023-12-05 19:09:03,2258.0,406.0,82.0,18.0,768.0,29.0,117.0,1998.0,46.0,1.0,1.0,34.0,,,78.0,3.0,ghcr.io/permify/permify,2023-12-05 18:02:30,0.6.2,1253.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
66,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-12-07 15:28:54.000000,2023-12-07 15:28:54,1681.0,23.0,120.0,20.0,344.0,36.0,76.0,1908.0,32.0,,,45.0,,,3929.0,3.0,permitio/opal-server,2023-09-14 19:06:35,0.7.4,553.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,133011.0,,,,,,,,,,,
67,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-12-07 14:28:09.832856,2023-12-04 14:58:07,15716.0,45.0,305.0,50.0,7107.0,,,1033.0,,,,219.0,,,40393.0,3.0,freeipa/freeipa-server,,,,https://hub.docker.com/r/freeipa/freeipa-server,2023-12-07 14:28:09.832856,158.0,5614716.0,,,,,,,,,,,
68,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-12-07 12:48:34.000000,2023-11-29 09:44:04,1677.0,35.0,218.0,60.0,282.0,24.0,80.0,499.0,6.0,,,99.0,,,1541.0,2.0,universalresolver/uni-resolver-web,2022-01-07 16:42:38,0.5.0,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-11-29 09:45:54.612308,,117166.0,,,,,,,,,,,
69,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2023-12-07 16:39:53.000000,2023-12-07 16:39:53,673.0,86.0,35.0,16.0,189.0,19.0,75.0,57.0,24.0,49.0,49.0,22.0,,,3569.0,2.0,,2023-06-02 16:26:49,0.1.0,39262.0,,,,,,,,,,,,,,,
70,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,2860.0,280.0,25.0,1.0,143.0,19207.0,35.0,,,11.0,,,22498.0,3.0,,2023-01-21 09:26:53,TINA_SHIFT,674953.0,,,,,,,,,,,,,,,
71,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-12-05 08:57:06.000000,2023-09-24 10:25:45,558.0,9.0,275.0,58.0,143.0,179.0,537.0,5065.0,11.0,,,60.0,,,209.0,3.0,,2020-09-02 15:57:23,2.6.1,14696.0,,,,,,,,,,,,,,,howdy
72,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-12-02 19:47:59.000000,2023-12-02 19:46:57,14884.0,14.0,654.0,113.0,17.0,,,672.0,,119.0,119.0,720.0,,,,3.0,,,,,,,,,,,,,,,,,,,
73,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-12-04 05:09:51.000000,2023-12-04 01:55:43,278.0,15.0,15.0,14.0,114.0,1.0,10.0,77.0,38.0,815.0,815.0,12.0,https://www.npmjs.com/package/web-did-resolver,21382.0,21382.0,3.0,,2023-07-03 18:25:08,2.0.27,,,,,,,,,,,,,,,,
74,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-10-25 19:52:07.000000,2023-08-31 21:53:17,639.0,,268.0,66.0,221.0,10.0,121.0,3618.0,2.0,10.0,10.0,39.0,,,,3.0,,2022-02-09 12:50:28,1.0.1,,,,,,,,,,,,,,,,
75,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-12-04 19:18:26.000000,2023-11-29 20:20:50,2188.0,65.0,150.0,175.0,837.0,80.0,1030.0,1055.0,7.0,,,72.0,,,,1.0,,2018-03-20 13:11:25,CR-00-20180320,,,,,,,,,,,,,,,,
76,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,21,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2023-12-06 23:12:27.000000,2023-11-14 00:30:30,1728.0,11.0,98.0,28.0,339.0,36.0,73.0,171.0,49.0,30.0,30.0,51.0,,,,3.0,,2023-06-11 17:23:23,8.4.0,,,,,,,,,,,,,,,,
77,web5-js,https://github.com/TBD54566975/web5-js,ssi-sdks,"An SDK for building decentralized web apps with DIDs, VCs, and DWNs.",,['web5'],21,False,TBD54566975/web5-js,web5/api,https://github.com/TBD54566975/web5-js,Apache-2.0,2023-03-06 19:11:53,2023-12-07 17:28:47.000000,2023-12-07 00:14:57,393.0,72.0,38.0,6.0,204.0,50.0,83.0,83.0,17.0,57.0,57.0,26.0,https://www.npmjs.com/package/web5/api,,,2.0,,2023-11-09 21:01:39,0.8.2,,,,,,,,,,,,,,,,
78,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2023-12-04 19:29:07.000000,2023-12-04 19:27:00,2425.0,94.0,31.0,14.0,3118.0,51.0,94.0,60.0,21.0,768.0,768.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,2023-11-16 16:03:01,1.17.5,,,,,,,,,,,,,,,,
79,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4665.0,566.0,122.0,498.0,619.0,13302.0,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
80,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-31 00:29:40.000000,2023-10-25 17:45:50,394.0,3.0,665.0,93.0,307.0,153.0,322.0,1616.0,25.0,,,50.0,,,,3.0,,2023-05-01 17:52:41,1.6.2,,,,,,,,,,,,,,,,
81,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2023-12-05 06:27:35.000000,2023-11-21 17:51:02,4892.0,12.0,632.0,64.0,1746.0,31.0,49.0,658.0,36.0,,,100.0,,,10.0,1.0,,2022-09-02 20:48:34,1.12.6,564.0,,,,,,,,,,,,,,,
82,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],20,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-09-28 17:59:07.000000,2023-04-04 19:14:54,1149.0,,102.0,40.0,680.0,37.0,441.0,429.0,12.0,31.0,31.0,47.0,,,,1.0,,2021-03-09 22:06:35,1.0.2,,,,,,,,,,,,,,,,
83,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,154.0,19.0,2046.0,388.0,1196.0,236.0,14.0,2.0,2.0,59.0,,,,2.0,,2023-05-09 10:57:15,0.3.2,,,,,,,,,,,,,,,,
84,aries-framework-javascript,https://github.com/openwallet-foundation/agent-framework-javascript,ssi-sdks,Extension libraries for Aries Framework JavaScript.,,['hyperledger'],20,True,hyperledger/aries-framework-javascript,,https://github.com/openwallet-foundation/agent-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-12-07 14:02:31.000000,2023-11-30 23:27:34,845.0,36.0,144.0,26.0,1006.0,169.0,459.0,210.0,77.0,2.0,2.0,56.0,,,,2.0,,2023-10-05 13:35:35,0.4.2,,,,,,,,,,,,,,openwallet-foundation/agent-framework-javascript,,
85,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,20,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-30 19:45:05.619008,2023-11-23 10:14:53,1529.0,18.0,32.0,6.0,194.0,3.0,162.0,94.0,97.0,,,16.0,,,384.0,2.0,waltid/ssikit,2023-11-30 19:45:07,1.2311301938.0,58.0,https://hub.docker.com/r/waltid/ssikit,2023-11-30 19:45:05.619008,,10702.0,,,,,,,,,,,
86,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2023-12-06 01:21:31.000000,2023-11-30 18:32:29,1091.0,50.0,16.0,12.0,1255.0,,321.0,27.0,16.0,,,27.0,,,352.0,2.0,,2023-11-16 22:24:18,1.13.0,9175.0,,,,,,,,,,,,,,,
87,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-12-02 04:19:25.000000,2023-07-12 07:05:13,339.0,,801.0,238.0,237.0,175.0,525.0,2603.0,,,,47.0,,,,3.0,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,
88,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,1.0,269.0,96.0,42.0,28.0,23.0,2374.0,,,,26.0,,,1834.0,3.0,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1834.0,,,,,,,,
89,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-12-07 17:45:16.000000,2023-12-07 04:55:29,2178.0,18.0,207.0,58.0,580.0,52.0,172.0,312.0,,,,84.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,
90,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],19,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-12-07 09:02:26.000000,2023-12-06 19:41:02,1721.0,194.0,78.0,81.0,706.0,45.0,601.0,260.0,,,,65.0,,,,1.0,,,,,,,,,,,,,,,,,,,
91,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,,221.0,63.0,103.0,4.0,54.0,2287.0,40.0,,,50.0,,,,3.0,,2020-04-30 07:36:33,1.2.0,,,,,,,,,,,,,,,,
92,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,158.0,90.0,184.0,70.0,69.0,1218.0,17.0,,,32.0,,,,2.0,,2022-06-09 01:42:53,1.0.4,,,,,,,,,,,,,,,,
93,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-12-07 00:18:10.000000,2023-11-01 15:51:52,531.0,8.0,48.0,30.0,353.0,73.0,103.0,159.0,,113.0,113.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,
94,digitalbazaar-vc,https://github.com/digitalbazaar/vc,credentials-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,18,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2023-12-07 14:35:03.000000,2023-12-07 12:08:25,381.0,37.0,43.0,15.0,83.0,22.0,62.0,153.0,,204.0,204.0,14.0,,,,3.0,,,,,,,,,,,,,,,,,,,
95,aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],18,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-12-06 21:01:49.000000,2023-12-06 20:59:42,1619.0,64.0,105.0,21.0,793.0,66.0,175.0,122.0,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,,
96,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Self Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2023-12-07 10:46:30.000000,2023-12-07 09:27:01,1363.0,136.0,51.0,9.0,468.0,5.0,104.0,69.0,13.0,,,16.0,,,,2.0,,2023-12-04 18:12:46,2.3.6,,,,,,,,,,,,,,,,
97,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,18,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2023-12-07 03:35:09.000000,2023-12-07 03:35:09,2272.0,71.0,35.0,12.0,399.0,132.0,87.0,45.0,1.0,23.0,23.0,21.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,
98,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,373.0,560.0,56.0,126.0,88.0,8168.0,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,,,
99,solid-specification,https://github.com/solid/specification,protocols,Solid Technical Reports.,,['solid'],17,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-12-07 17:14:31.000000,2023-12-07 17:14:31,974.0,47.0,38.0,48.0,204.0,173.0,146.0,440.0,1.0,,,22.0,,,,2.0,,2021-12-21 13:00:06,protocol-v0.9.0,,,,,,,,,,,,,,,,
100,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-11-22 09:43:18.000000,2023-11-22 09:42:44,3596.0,14.0,66.0,27.0,5.0,,,228.0,,,,297.0,,,,3.0,,,,,,,,,,,,,,,,,,,
101,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],17,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-12-04 18:45:56.000000,2023-12-04 18:45:13,319.0,18.0,53.0,13.0,332.0,47.0,107.0,188.0,4.0,33.0,33.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,,,
102,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,17,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-12-07 16:22:39.000000,2023-11-30 14:41:31,390.0,16.0,23.0,4.0,125.0,6.0,21.0,41.0,28.0,92.0,92.0,15.0,,,,3.0,,2023-11-30 14:47:21,1.4.2,,,,,,,,,,,,,,,,
103,talao-altme,https://github.com/TalaoDAO/AltMe,ssi-agents,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,17,False,talaodao/altme,,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-12-27 07:56:07,2023-12-07 12:10:23.000000,2023-11-27 14:21:21,3482.0,228.0,11.0,7.0,454.0,71.0,1643.0,29.0,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,
104,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",16,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-11-21 10:24:10.000000,2023-11-08 14:51:10,535.0,2.0,149.0,84.0,204.0,16.0,41.0,1338.0,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,
105,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,16,True,spruceid/didkit,,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2023-10-25 21:52:04.000000,2023-10-25 21:52:03,304.0,5.0,64.0,32.0,247.0,45.0,72.0,225.0,,4.0,4.0,21.0,,,,3.0,ghcr.io/spruceid/didkit-http,,,,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
106,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,ssi-sdks,Self Sovereign Identity SDK.,,,16,False,sphereon-opensource/ssi-sdk,,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-11-22 08:30:41,2023-12-05 09:49:19.000000,2023-11-27 09:55:15,1433.0,100.0,7.0,8.0,136.0,3.0,7.0,38.0,29.0,1.0,1.0,13.0,,,,3.0,,2023-10-01 02:16:26,0.17.5,,,,,,,,,,,,,,,,
